GP,PTS,FG%,3P%,FT%,REB,AST,STL,BLK,TOV,TARGET_5Yrs
62,5,43,15,70,2,1,0,0,1,NO
62,5,39,34,83,1,1,1,0,1,NO
51,5,38,36,79,2,3,1,0,2,NO
64,4,41,27,66,3,1,0,1,1,YES
44,7,45,33,65,1,1,1,0,1,NO
57,4,47,0,67,3,0,0,1,0,YES
53,6,47,0,56,2,0,0,0,1,YES
36,3,33,31,67,1,2,0,0,1,NO
60,4,42,26,82,2,1,0,0,1,YES
59,4,42,32,83,1,2,0,0,1,YES
57,3,44,0,59,2,0,0,0,1,YES
47,5,34,31,67,3,1,1,0,1,NO
43,3,42,20,59,1,2,1,0,1,YES
41,3,34,30,72,1,1,1,0,1,NO
61,3,38,0,66,2,0,0,0,1,NO
49,2,36,22,75,2,0,0,0,0,NO
53,3,45,0,56,2,0,0,0,1,NO
33,1,39,0,63,1,0,0,0,0,NO
70,20,48,15,73,6,5,2,1,3,YES
80,22,45,32,80,6,3,1,0,4,NO
80,22,45,32,80,6,3,1,0,4,YES
65,17,49,0,66,8,3,1,0,3,YES
63,6,58,0,55,6,1,0,0,1,NO
79,12,39,27,70,5,8,2,0,3,YES
81,14,40,30,75,4,2,1,1,2,YES
64,14,46,37,72,4,2,2,1,1,YES
78,10,53,0,64,7,1,0,1,1,YES
72,13,39,28,66,6,2,1,1,2,YES
80,13,51,25,64,8,1,1,1,2,YES
79,11,47,0,65,6,1,1,1,2,NO
78,10,48,44,79,3,1,1,0,1,YES
66,7,49,29,45,7,1,1,1,1,NO
81,8,45,32,74,3,5,1,0,2,YES
32,6,42,38,68,3,1,1,0,1,NO
67,9,44,39,71,3,4,1,0,2,YES
53,6,38,33,75,1,4,1,0,1,YES
45,7,44,39,69,3,2,1,0,1,YES
37,7,48,21,65,2,3,1,0,2,NO
64,5,47,0,49,3,1,1,1,1,NO
62,4,46,0,61,3,1,1,0,1,NO
63,6,52,17,83,2,1,1,0,1,YES
81,7,44,37,78,2,1,1,0,1,YES
55,4,38,31,70,1,3,1,0,2,NO
46,4,59,100,49,3,1,0,1,1,NO
41,3,45,0,45,2,1,1,0,1,YES
46,4,53,40,62,3,1,0,0,1,YES
49,2,33,24,78,1,2,0,0,1,YES
53,3,43,0,75,2,1,0,0,1,YES
60,3,50,26,68,1,1,1,0,1,NO
58,5,38,30,65,1,1,0,0,1,NO
59,4,42,0,69,3,1,0,0,1,YES
55,2,48,0,68,2,0,0,1,0,YES
41,4,39,36,68,1,0,0,0,1,NO
46,3,56,33,41,1,1,0,0,1,NO
42,3,37,24,65,1,0,0,0,0,NO
49,5,43,38,71,1,1,0,0,1,NO
38,3,40,31,67,1,1,0,0,1,NO
82,16,47,27,74,5,7,2,1,4,YES
79,19,41,28,70,5,3,1,0,3,YES
81,14,39,34,78,3,6,1,0,2,YES
76,18,55,0,53,9,4,1,2,3,YES
47,5,45,27,72,4,1,1,1,1,NO
82,14,50,20,57,8,2,1,1,2,YES
79,17,47,36,81,4,3,1,0,3,YES
82,10,38,33,73,2,5,2,0,2,YES
79,9,42,31,78,5,2,1,1,1,YES
71,10,51,0,60,6,1,1,0,1,YES
79,6,42,17,76,6,1,1,1,1,YES
65,12,47,4,77,3,2,1,0,2,YES
37,7,59,0,59,6,1,1,1,1,YES
81,6,48,0,73,8,1,1,0,1,YES
81,8,51,0,64,6,1,1,1,1,YES
79,9,41,30,82,2,1,0,0,1,YES
49,9,55,0,71,3,1,2,0,1,NO
79,8,44,38,67,3,1,1,1,2,YES
75,7,50,0,58,3,1,1,0,1,YES
66,7,42,30,84,2,3,1,0,1,YES
67,5,48,9,61,3,1,1,0,1,YES
23,4,48,0,60,4,1,1,0,1,NO
47,5,36,27,83,2,1,1,0,1,NO
74,6,41,0,68,3,0,0,1,1,NO
77,5,42,21,73,2,1,1,0,1,YES
51,5,42,33,66,3,1,1,0,1,YES
68,4,59,0,55,3,0,0,0,1,NO
70,5,40,8,84,1,1,1,0,1,YES
55,3,54,0,55,3,0,0,1,1,NO
64,5,38,40,75,1,1,0,0,1,YES
58,5,37,32,67,1,1,1,0,1,YES
67,3,44,0,61,3,1,0,1,1,YES
39,5,36,26,75,3,1,1,0,1,NO
60,3,37,23,83,1,2,1,0,1,YES
40,2,31,33,80,1,1,0,0,1,YES
48,3,52,50,82,1,2,0,0,1,YES
38,2,32,21,44,1,0,0,0,1,NO
53,3,40,28,76,2,1,0,0,1,NO
45,3,42,0,63,3,0,0,1,1,YES
68,2,32,33,74,1,0,0,0,0,NO
47,2,49,0,54,1,0,0,0,0,YES
81,23,56,0,59,14,2,1,4,4,YES
77,15,46,37,75,4,4,2,1,3,YES
81,18,47,10,84,9,3,1,1,3,YES
81,15,43,28,64,10,4,2,0,3,YES
78,21,51,0,78,10,1,0,4,3,YES
82,15,50,15,75,9,2,1,1,2,YES
82,16,47,25,71,7,2,1,1,2,YES
79,10,47,26,72,5,2,1,1,2,YES
72,14,49,0,60,7,1,1,1,2,YES
59,17,44,32,74,5,3,1,1,3,YES
82,10,43,0,65,6,1,1,1,2,YES
48,16,52,33,71,5,1,2,1,2,NO
71,14,43,29,72,4,2,1,1,2,YES
39,9,45,0,83,3,1,1,0,1,YES
45,8,47,23,73,2,4,1,0,2,YES
77,10,47,39,79,2,2,1,0,2,YES
74,8,40,17,77,3,2,1,0,2,NO
20,9,45,0,76,4,1,1,0,1,NO
77,9,44,33,73,3,2,1,0,1,YES
56,6,48,0,71,5,2,1,2,2,YES
73,10,48,33,76,2,1,1,0,1,NO
40,6,53,24,74,2,1,1,0,1,NO
82,7,50,0,70,5,1,1,0,1,YES
82,5,46,39,57,1,3,1,0,1,YES
50,5,44,32,80,1,2,0,0,1,YES
79,5,45,29,67,4,1,1,1,1,NO
80,4,43,14,79,1,3,1,0,1,NO
80,4,43,14,79,1,3,1,0,1,NO
68,4,36,17,79,2,2,1,0,1,YES
43,5,55,0,64,4,0,0,0,1,NO
52,5,44,10,63,1,2,0,0,1,YES
47,4,37,33,67,1,1,1,0,1,YES
